AL  Alabama              | axios error: timeout of 12000ms exceeded
AL  Alabama              | axios error: timeout of 12000ms exceeded
AL  Alabama              | axios error: timeout of 12000ms exceeded
AZ  Arizona              | browser error: net::ERR_NAME_NOT_RESOLVED at https://ecorp.azcc.gov/BusinessSearch/Business
AZ  Arizona              | browser error: net::ERR_NAME_NOT_RESOLVED at https://ecorp.azcc.gov/BusinessSearch/Business
AZ  Arizona              | browser error: net::ERR_NAME_NOT_RESOLVED at https://ecorp.azcc.gov/BusinessSearch/Business
CA  California           | browser error: net::ERR_NAME_NOT_RESOLVED at https://businesssearch.sos.ca.gov/
CA  California           | browser error: net::ERR_NAME_NOT_RESOLVED at https://businesssearch.sos.ca.gov/
CA  California           | browser error: net::ERR_NAME_NOT_RESOLVED at https://businesssearch.sos.ca.gov/
ME  Maine                | browser error: net::ERR_CONNECTION_TIMED_OUT at https://apps3.web.maine.gov/nei-sos-icrs/ICRS
ME  Maine                | browser error: net::ERR_CONNECTION_TIMED_OUT at https://apps3.web.maine.gov/nei-sos-icrs/ICRS
ME  Maine                | browser error: net::ERR_CONNECTION_TIMED_OUT at https://apps3.web.maine.gov/nei-sos-icrs/ICRS
ND  North Dakota         | browser error: net::ERR_CONNECTION_TIMED_OUT at https://firststop.sos.nd.gov/search/business
ND  North Dakota         | browser error: net::ERR_CONNECTION_TIMED_OUT at https://firststop.sos.nd.gov/search/business
ND  North Dakota         | browser error: net::ERR_CONNECTION_TIMED_OUT at https://firststop.sos.nd.gov/search/business
SC  South Carolina       | browser error: net::ERR_CONNECTION_TIMED_OUT at https://businessfilings.sc.gov/BusinessFiling/Entity/Search
SC  South Carolina       | browser error: net::ERR_CONNECTION_TIMED_OUT at https://businessfilings.sc.gov/BusinessFiling/Entity/Search
SC  South Carolina       | browser error: net::ERR_CONNECTION_TIMED_OUT at https://businessfilings.sc.gov/BusinessFiling/Entity/Search
VA  Virginia             | browser error: net::ERR_TIMED_OUT at https://cis.scc.virginia.gov/EntitySearch/Index
VA  Virginia             | browser error: net::ERR_TIMED_OUT at https://cis.scc.virginia.gov/EntitySearch/Index
VA  Virginia             | browser error: net::ERR_TIMED_OUT at https://cis.scc.virginia.gov/EntitySearch/Index
WI  Wisconsin            | browser error: net::ERR_CONNECTION_TIMED_OUT at https://apps.dfi.wi.gov/apps/corpsearch/search.aspx
WI  Wisconsin            | browser error: net::ERR_CONNECTION_TIMED_OUT at https://apps.dfi.wi.gov/apps/corpsearch/search.aspx
WI  Wisconsin            | browser error: net::ERR_CONNECTION_TIMED_OUT at https://apps.dfi.wi.gov/apps/corpsearch/search.aspx
DE  Delaware             | BLOCKED: CAPTCHA on all automated queries — permanently blocked
IA  Iowa                 | BLOCKED: Public API costs $2,400/yr; HTML portal requires session tokens — permanently blocked
LA  Louisiana            | BLOCKED: CAPTCHA required on all search requests — permanently blocked
WA  Washington           | BLOCKED: esos.wa.gov API is DNS-dead; ccfs.sos.wa.gov Angular SPA blocks automation — deferred
WY  Wyoming              | BLOCKED: Restricts API access; session-heavy forms requiring human interaction — permanently blocked
